Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal    ,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
3/11/2017 0:00,72.99,50,86,62.57,72.11,72.36,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:01,72.98,50,86,62.57,72.11,72.36,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:02,72.99,50,86,62.57,72.11,72.36,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:03,72.97,50,86,62.57,72.1,72.35,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:04,72.97,50,86,62.57,72.1,72.35,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:05,72.98,50,86,62.57,72.09,72.34,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:06,72.97,50,86,62.57,72.08,72.32,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:07,72.96,50,86,62.57,72.09,72.32,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:08,72.95,50,86,62.57,72.09,72.33,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:09,72.96,50,86,62.57,72.07,72.32,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:10,72.95,50,86,62.57,72.07,72.31,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:11,72.94,50,86,62.57,72.06,72.29,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:12,72.94,50,86,62.57,72.07,72.3,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:13,72.93,50,86,62.57,72.07,72.3,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:14,72.94,50,86,62.57,72.06,72.29,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:15,72.93,50,86,62.26,72.05,72.29,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:16,72.92,50,86,62.26,72.03,72.29,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:17,72.92,50,86,62.26,72.02,72.27,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:18,72.91,50,86,62.26,72.03,72.27,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:19,72.9,50,86,62.26,72.02,72.27,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:20,72.89,50,86,62.26,72.01,72.26,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:21,72.89,50,86,62.26,72,72.26,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:22,72.89,50,86,62.26,72,72.24,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:23,72.89,50,86,62.26,71.99,72.24,1,0.5,0,1,0,0,0,0,1
3/11/2017 0:24,72.88,50,86,62.26,71.98,72.22,1,0.5,0,1,0,0,0,0,1
