Datetime,AHU: Supply Air Temperature,AHU: Supply Air Temperature Heating Set Point,AHU: Supply Air Temperature Cooling Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Status,AHU: Supply Air Fan Speed Control Signal,AHU: Outdoor Air Damper Control Signal  ,AHU: Return Air Damper Control Signal,AHU: Exhaust Air Damper Control Signal    ,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,Occupancy Mode Indicator,Fault Detection Ground Truth
9/11/2017 0:00,72.29,,,81.11,78.56,76.38,1,0.1,0,1,-0.04,0,0.23,0,1
9/11/2017 0:01,72.3,,,81.11,78.56,76.39,1,0.1,0,1,-0.04,0,0.23,0,1
9/11/2017 0:02,72.37,,,81.09,78.56,76.38,1,0.1,0,1,-0.04,0,0.22,0,1
9/11/2017 0:03,72.29,,,81.06,78.51,76.38,1,0.1,0,1,-0.04,0,0.22,0,1
9/11/2017 0:04,71.82,,,81.05,78.41,76.37,1,0.1,0,1,-0.04,0,0.24,0,1
9/11/2017 0:05,71.18,,,81.05,78.3,76.36,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:06,70.67,,,81.04,78.22,76.36,1,0.1,0,1,-0.04,0,0.32,0,1
9/11/2017 0:07,70.65,,,81.03,78.16,76.35,1,0.1,0,1,-0.04,0,0.33,0,1
9/11/2017 0:08,71.33,,,81.02,78.11,76.34,1,0.1,0,1,-0.04,0,0.3,0,1
9/11/2017 0:09,72.46,,,81.01,78.06,76.32,1,0.1,0,1,-0.04,0,0.25,0,1
9/11/2017 0:10,73.47,,,80.99,78.01,76.3,1,0.1,0,1,-0.04,0,0.18,0,1
9/11/2017 0:11,73.88,,,80.98,77.95,76.27,1,0.1,0,1,-0.04,0,0.15,0,1
9/11/2017 0:12,73.73,,,80.96,77.9,76.24,1,0.1,0,1,-0.04,0,0.15,0,1
9/11/2017 0:13,73.3,,,80.94,77.89,76.21,1,0.1,0,1,-0.04,0,0.17,0,1
9/11/2017 0:14,72.78,,,80.93,77.89,76.17,1,0.1,0,1,-0.04,0,0.2,0,1
9/11/2017 0:15,72.21,,,80.91,77.89,76.13,1,0.1,0,1,-0.04,0,0.23,0,1
9/11/2017 0:16,71.69,,,80.89,77.9,76.1,1,0.1,0,1,-0.04,0,0.26,0,1
9/11/2017 0:17,71.35,,,80.87,77.88,76.07,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:18,71.27,,,80.85,77.87,76.07,1,0.1,0,1,-0.04,0,0.29,0,1
9/11/2017 0:19,71.53,,,80.84,77.86,76.06,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:20,72.05,,,80.82,77.86,76.06,1,0.1,0,1,-0.04,0,0.26,0,1
9/11/2017 0:21,72.71,,,80.79,77.82,76.05,1,0.1,0,1,-0.04,0,0.23,0,1
9/11/2017 0:22,73.32,,,80.77,77.8,76.04,1,0.1,0,1,-0.04,0,0.19,0,1
9/11/2017 0:23,73.6,,,80.75,77.79,76.03,1,0.1,0,1,-0.04,0,0.17,0,1
9/11/2017 0:24,73.54,,,80.73,77.81,76.03,1,0.1,0,1,-0.04,0,0.16,0,1
9/11/2017 0:25,73.24,,,80.68,77.79,76.03,1,0.1,0,1,-0.04,0,0.18,0,1
9/11/2017 0:26,72.81,,,80.59,77.8,76.02,1,0.1,0,1,-0.04,0,0.19,0,1
9/11/2017 0:27,72.3,,,80.5,77.8,76.01,1,0.1,0,1,-0.04,0,0.22,0,1
9/11/2017 0:28,71.83,,,80.41,77.79,76.02,1,0.1,0,1,-0.04,0,0.25,0,1
9/11/2017 0:29,71.48,,,80.3,77.79,76.01,1,0.1,0,1,-0.04,0,0.27,0,1
9/11/2017 0:30,71.37,,,80.18,77.77,76.01,1,0.1,0,1,-0.04,0,0.29,0,1
9/11/2017 0:31,71.56,,,80.05,77.77,76,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:32,72.05,,,79.93,77.74,75.99,1,0.1,0,1,-0.04,0,0.26,0,1
9/11/2017 0:33,72.72,,,79.79,77.72,75.98,1,0.1,0,1,-0.04,0,0.22,0,1
9/11/2017 0:34,73.33,,,79.64,77.72,75.97,1,0.1,0,1,-0.04,0,0.19,0,1
9/11/2017 0:35,73.65,,,79.5,77.7,75.96,1,0.1,0,1,-0.04,0,0.16,0,1
9/11/2017 0:36,73.63,,,79.34,77.69,75.94,1,0.1,0,1,-0.04,0,0.16,0,1
9/11/2017 0:37,73.37,,,79.19,77.69,75.93,1,0.1,0,1,-0.04,0,0.17,0,1
9/11/2017 0:38,72.98,,,79.04,77.69,75.92,1,0.1,0,1,-0.04,0,0.19,0,1
9/11/2017 0:39,72.53,,,78.94,77.69,75.92,1,0.1,0,1,-0.04,0,0.21,0,1
9/11/2017 0:40,72.06,,,78.85,77.69,75.91,1,0.1,0,1,-0.04,0,0.24,0,1
9/11/2017 0:41,71.66,,,78.72,77.67,75.89,1,0.1,0,1,-0.04,0,0.26,0,1
9/11/2017 0:42,71.45,,,78.62,77.67,75.9,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:43,71.5,,,78.55,77.67,75.9,1,0.1,0,1,-0.04,0,0.28,0,1
9/11/2017 0:44,71.85,,,78.47,77.64,75.88,1,0.1,0,1,-0.04,0,0.27,0,1
9/11/2017 0:45,72.4,,,78.4,77.62,75.88,1,0.1,0,1,-0.04,0,0.24,0,1
9/11/2017 0:46,73.02,,,78.34,77.61,75.88,1,0.1,0,1,-0.04,0,0.21,0,1
9/11/2017 0:47,73.51,,,78.27,77.62,75.87,1,0.1,0,1,-0.04,0,0.17,0,1
9/11/2017 0:48,73.66,,,78.23,77.61,75.85,1,0.1,0,1,-0.04,0,0.16,0,1
9/11/2017 0:49,73.54,,,78.17,77.6,75.85,1,0.1,0,1,-0.04,0,0.16,0,1
9/11/2017 0:50,73.24,,,78.13,77.59,75.83,1,0.1,0,1,-0.04,0,0.17,0,1
9/11/2017 0:51,72.84,,,78.12,77.58,75.83,1,0.1,0,1,-0.04,0,0.19,0,1
9/11/2017 0:52,72.41,,,78.09,77.58,75.83,1,0.1,0,1,-0.04,0,0.22,0,1
