iter	Passed	Remaining
0	8	8239
1	15	7535
2	23	7719
3	30	7562
4	38	7677
5	46	7651
6	56	8025
7	64	8010
8	72	8022
9	81	8033
10	89	8036
11	97	7987
12	105	7983
13	112	7915
14	121	7958
15	129	7969
16	137	7959
17	147	8054
18	159	8238
19	168	8274
20	176	8247
21	185	8226
22	193	8224
23	203	8282
24	212	8294
25	221	8306
26	230	8310
27	238	8273
28	246	8261
29	255	8262
30	265	8312
31	275	8326
32	284	8341
33	293	8326
34	301	8299
35	308	8267
36	316	8242
37	325	8242
38	333	8211
39	341	8207
40	351	8211
41	359	8209
42	368	8210
43	378	8224
44	387	8227
45	396	8230
46	406	8232
47	415	8240
48	424	8231
49	432	8224
50	442	8236
51	451	8231
52	460	8225
53	469	8223
54	478	8222
55	487	8215
56	496	8215
57	505	8212
58	513	8192
59	518	8119
60	525	8095
61	534	8088
62	542	8068
63	550	8053
64	558	8030
65	568	8052
66	579	8065
67	588	8061
68	596	8051
69	607	8077
70	618	8091
71	627	8088
72	636	8087
73	645	8077
74	655	8080
75	664	8076
76	673	8068
77	683	8073
78	695	8104
79	700	8058
80	708	8039
81	716	8023
82	725	8017
83	731	7974
84	739	7957
85	747	7941
86	755	7926
87	762	7903
88	770	7887
89	778	7867
90	784	7839
91	792	7821
92	799	7799
93	806	7769
94	814	7755
95	821	7732
96	828	7712
97	836	7699
98	843	7679
99	849	7641
100	855	7617
101	865	7620
102	874	7617
103	885	7628
104	896	7638
105	905	7639
106	912	7615
107	918	7583
108	927	7581
109	933	7555
110	942	7548
111	953	7559
112	966	7585
113	975	7579
114	986	7593
115	996	7592
116	1007	7600
117	1017	7605
118	1025	7592
119	1037	7611
120	1047	7608
121	1055	7596
122	1066	7603
123	1076	7606
124	1083	7584
125	1092	7575
126	1103	7587
127	1114	7593
128	1121	7569
129	1127	7548
130	1134	7526
131	1144	7524
132	1151	7506
133	1158	7487
134	1171	7506
135	1178	7487
136	1185	7466
137	1194	7460
138	1201	7441
139	1208	7425
140	1219	7427
141	1226	7408
142	1233	7393
143	1242	7383
144	1247	7358
145	1254	7339
146	1262	7323
147	1268	7301
148	1277	7297
149	1285	7285
150	1294	7278
151	1301	7261
152	1307	7237
153	1313	7214
154	1318	7187
155	1325	7169
156	1331	7149
157	1339	7136
158	1346	7122
159	1353	7108
160	1360	7087
161	1367	7071
162	1374	7056
163	1381	7040
164	1388	7025
165	1401	7040
166	1408	7026
167	1416	7016
168	1423	6999
169	1429	6980
170	1436	6965
171	1443	6946
172	1453	6946
173	1460	6931
174	1465	6908
175	1472	6894
176	1481	6886
177	1486	6866
178	1492	6846
179	1499	6828
180	1505	6813
181	1512	6796
182	1523	6803
183	1531	6792
184	1539	6781
185	1548	6775
186	1554	6756
187	1560	6741
188	1567	6725
189	1573	6707
190	1580	6692
